iter	Passed	Remaining
308	16338	36537
309	16390	36482
310	16442	36426
311	16491	36365
312	16539	36303
313	16592	36249
314	16641	36189
315	16694	36135
316	16744	36076
317	16796	36021
318	16844	35958
319	16893	35898
320	16943	35839
321	16993	35781
322	17046	35728
323	17094	35665
324	17149	35617
325	17200	35562
326	17249	35501
327	17302	35448
328	17352	35389
329	17402	35332
330	17457	35283
331	17504	35220
332	17557	35167
333	17605	35104
334	17657	35050
335	17708	34995
336	17759	34939
337	17808	34879
338	17859	34823
339	17908	34763
340	17960	34709
341	18011	34652
342	18060	34593
343	18107	34531
344	18161	34481
345	18232	34463
346	18293	34425
347	18344	34368
348	18392	34308
349	18442	34250
350	18492	34193
351	18542	34134
352	18593	34080
353	18645	34025
354	18695	33968
355	18746	33911
356	18798	33858
357	18849	33802
358	18899	33745
359	18950	33690
360	19001	33633
361	19051	33576
362	19101	33519
363	19151	33461
364	19199	33401
365	19249	33344
366	19299	33288
367	19350	33231
368	19401	33176
369	19451	33120
370	19503	33065
371	19552	33007
372	19602	32951
373	19652	32894
374	19703	32839
375	19753	32781
376	19807	32731
377	19856	32673
378	19908	32620
379	19960	32567
380	20010	32510
381	20061	32455
382	20111	32399
383	20161	32342
384	20211	32286
385	20263	32231
386	20311	32173
387	20366	32124
388	20417	32069
389	20466	32011
390	20519	31960
391	20569	31904
392	20619	31847
393	20670	31792
394	20718	31733
395	20769	31679
396	20819	31622
397	20868	31564
398	20918	31508
399	20968	31452
400	21018	31396
401	21070	31343
402	21119	31286
403	21171	31232
404	21222	31178
405	21272	31122
406	21322	31066
407	21372	31010
408	21422	30954
409	21472	30898
410	21521	30842
411	21574	30790
412	21623	30733
413	21670	30673
414	21720	30617
415	21769	30560
416	21819	30505
417	21870	30450
418	21919	30394
419	21969	30339
420	22019	30283
421	22071	30230
422	22120	30174
423	22170	30117
424	22220	30062
425	22271	30008
426	22321	29953
427	22372	29899
428	22423	29845
429	22474	29792
430	22523	29734
431	22578	29686
432	22632	29636
433	22681	29579
434	22732	29525
435	22782	29470
436	22832	29416
437	22882	29360
438	22932	29305
439	22983	29251
440	23033	29196
441	23085	29144
442	23135	29089
443	23187	29036
444	23236	28980
445	23286	28925
446	23337	28871
447	23386	28815
448	23434	28758
449	23483	28702
450	23534	28647
451	23582	28591
452	23632	28536
453	23683	28482
454	23737	28433
455	23786	28377
456	23848	28336
457	23898	28281
458	23949	28227
459	24000	28174
460	24051	28120
461	24100	28065
462	24152	28012
463	24204	27960
464	24256	27907
465	24305	27852
466	24357	27799
467	24408	27746
468	24457	27690
469	24508	27637
470	24560	27584
471	24610	27530
472	24663	27478
473	24718	27429
474	24772	27380
475	24825	27328
476	24875	27274
477	24928	27223
478	24979	27169
479	25029	27115
480	25084	27066
481	25137	27015
482	25196	26970
483	25245	26914
484	25295	26860
485	25345	26806
486	25432	26790
487	25486	26739
488	25540	26689
489	25592	26637
490	25646	26586
491	25699	26535
492	25753	26485
493	25803	26429
494	25855	26377
495	25908	26326
496	25960	26273
497	26009	26218
498	26060	26165
499	26109	26109
500	26159	26055
501	26226	26017
502	26276	25963
503	26330	25912
504	26391	25868
505	26443	25816
506	26496	25764
507	26552	25716
508	26607	25666
509	26666	25620
510	26720	25569
511	26772	25517
512	26825	25466
513	26878	25413
514	26932	25363
515	26988	25315
516	27053	25274
517	27110	25226
518	27168	25179
519	27226	25132
520	27287	25087
521	27345	25040
522	27406	24996
523	27469	24952
524	27537	24914
525	27598	24870
526	27655	24821
527	27716	24777
528	27772	24727
529	27839	24687
530	27894	24637
531	27945	24583
532	27994	24527
533	28087	24510
534	28136	24454
535	28227	24435
536	28306	24405
537	28356	24350
538	28409	24297
539	28461	24245
540	28511	24189
541	28562	24135
542	28613	24081
543	28663	24026
544	28713	23971
545	28764	23917
546	28814	23862
547	28868	23811
548	28922	23760
549	28980	23711
550	29035	23660
551	29090	23610
552	29145	23559
553	29195	23504
554	29247	23450
555	29310	23405
556	29366	23356
557	29419	23303
558	29471	23250
559	29523	23196
560	29578	23146
561	29632	23094
562	29691	23046
563	29751	22999
564	29822	22960
565	29882	22913
566	29931	22857
567	29980	22802
568	30046	22759
569	30097	22705
570	30151	22653
571	30204	22600
572	30263	22552
573	30320	22502
574	30377	22452
575	30438	22406
576	30500	22359
577	30554	22308
578	30608	22255
579	30661	22203
580	30711	22148
581	30774	22102
582	30833	22053
583	30891	22004
584	30953	21958
585	31011	21908
586	31067	21858
587	31121	21805
588	31172	21752
589	31224	21698
590	31275	21644
591	31328	21590
592	31379	21537
593	31429	21482
594	31478	21426
595	31528	21371
596	31579	21317
597	31635	21266
598	31690	21215
599	31742	21161
600	31794	21107
601	31845	21053
602	31894	20998
603	31945	20944
604	31996	20890
605	32045	20835
606	32096	20780
607	32147	20726
608	32196	20671
609	32243	20614
610	32294	20560
611	32345	20506
612	32397	20453
613	32450	20400
614	32499	20344
615	32548	20289
616	32597	20234
617	32650	20182
618	32702	20128
619	32755	20076
620	32822	20032
621	32879	19981
622	32951	19940
623	33008	19890
624	33071	19842
625	33121	19788
626	33170	19733
627	33223	19680
628	33274	19626
629	33323	19571
630	33373	19516
631	33429	19465
632	33483	19412
633	33537	19360
634	33592	19309
635	33646	19256
636	33696	19202
637	33746	19147
638	33796	19093
639	33849	19040
640	33899	18986
641	33952	18933
642	34015	18885
643	34083	18841
644	34137	18788
645	34192	18736
646	34247	18685
647	34298	18631
648	34348	18577
649	34403	18525
650	34453	18470
651	34502	18415
652	34551	18360
653	34616	18313
654	34667	18260
655	34721	18207
656	34774	18154
657	34828	18102
658	34879	18048
659	34933	17995
660	34985	17942
661	35038	17889
662	35092	17837
663	35146	17785
664	35201	17733
665	35255	17680
666	35315	17631
667	35377	17582
668	35443	17536
669	35525	17497
670	35593	17451
671	35658	17404
672	35715	17353
673	35769	17300
674	35821	17247
675	35872	17193
676	35929	17142
677	35984	17089
678	36041	17038
679	36095	16986
680	36150	16933
681	36206	16882
682	36258	16828
683	36313	16776
684	36367	16723
685	36417	16669
686	36469	16615
687	36517	16560
688	36568	16506
689	36618	16451
690	36667	16396
691	36716	16342
692	36768	16288
693	36817	16233
694	36866	16179
695	36916	16124
696	36967	16070
697	37017	16015
698	37064	15960
699	37112	15905
700	37162	15851
701	37212	15796
702	37261	15742
703	37311	15687
704	37361	15633
705	37410	15578
706	37460	15524
707	37511	15470
708	37560	15416
709	37608	15361
710	37662	15308
711	37713	15254
712	37764	15201
713	37813	15146
714	37864	15092
715	37915	15039
716	37964	14984
717	38015	14930
718	38065	14876
719	38114	14822
720	38163	14767
721	38214	14714
722	38264	14659
723	38313	14605
724	38362	14551
725	38412	14497
726	38461	14442
727	38510	14388
728	38561	14334
729	38611	14280
730	38660	14226
731	38710	14172
732	38761	14119
733	38812	14065
734	38864	14012
735	38912	13957
736	38959	13902
737	39009	13848
738	39058	13794
739	39109	13741
740	39158	13687
741	39208	13633
742	39258	13579
743	39308	13525
744	39358	13471
745	39406	13417
746	39495	13376
747	39543	13321
748	39590	13267
749	39641	13213
750	39692	13160
751	39742	13106
752	39792	13052
753	39843	12999
754	39891	12944
755	39941	12891
756	39990	12837
757	40039	12783
758	40089	12729
759	40139	12675
760	40188	12621
761	40238	12567
762	40288	12514
763	40337	12460
764	40386	12406
765	40437	12353
766	40487	12299
767	40539	12246
768	40600	12196
769	40649	12142
770	40700	12088
771	40752	12035
772	40801	11981
773	40855	11929
774	40908	11876
775	40961	11823
776	41016	11771
777	41068	11718
778	41117	11664
779	41167	11611
780	41225	11559
781	41275	11506
782	41326	11453
783	41374	11399
784	41423	11345
785	41472	11291
786	41521	11237
787	41571	11184
788	41621	11130
789	41671	11077
790	41720	11023
791	41769	10969
792	41841	10922
793	41906	10872
794	41955	10818
795	42004	10764
796	42053	10711
797	42168	10674
798	42240	10626
799	42288	10572
800	42338	10518
801	42386	10464
802	42435	10410
803	42482	10356
804	42533	10303
805	42581	10249
806	42631	10195
807	42680	10141
808	42729	10088
809	42779	10034
810	42828	9980
811	42885	9929
812	42947	9878
813	43031	9832
814	43102	9783
815	43166	9733
816	43238	9684
817	43306	9635
818	43353	9581
819	43401	9527
820	43452	9473
821	43500	9419
822	43549	9366
823	43599	9312
824	43649	9258
825	43698	9205
826	43748	9151
827	43797	9097
828	43845	9044
829	43894	8990
830	43943	8936
831	43991	8882
832	44040	8829
833	44088	8775
834	44163	8726
835	44234	8677
836	44285	8624
837	44336	8571
838	44384	8517
839	44434	8463
840	44484	8410
841	44534	8356
842	44584	8303
843	44634	8249
844	44687	8197
845	44736	8143
846	44785	8089
847	44834	8036
848	44885	7983
849	44933	7929
850	44983	7876
851	45034	7822
852	45091	7770
853	45144	7717
854	45197	7665
855	45252	7612
856	45304	7559
857	45359	7506
858	45414	7454
859	45467	7401
860	45521	7348
861	45575	7296
862	45631	7244
863	45682	7190
864	45732	7137
865	45783	7084
866	45832	7030
867	45884	6977
868	45935	6924
869	45989	6872
870	46055	6821
871	46107	6768
872	46161	6715
873	46212	6662
874	46265	6609
875	46319	6556
876	46373	6503
877	46424	6450
878	46475	6397
879	46530	6345
880	46581	6291
881	46634	6239
882	46685	6185
883	46737	6132
884	46793	6080
885	46849	6027
886	46899	5974
887	46952	5921
888	47002	5868
889	47052	5815
890	47102	5762
891	47155	5709
892	47206	5656
893	47259	5603
894	47318	5551
895	47372	5498
896	47431	5446
897	47487	5393
898	47536	5340
899	47583	5287
900	47645	5235
901	47695	5181
902	47744	5128
903	47796	5075
904	47843	5022
905	47894	4969
906	47942	4915
907	47993	4862
908	48046	4809
909	48097	4756
910	48148	4703
911	48198	4650
912	48246	4597
913	48297	4544
914	48347	4491
915	48397	4438
916	48447	4385
917	48497	4332
918	48547	4278
919	48598	4225
920	48649	4172
921	48697	4119
922	48746	4066
923	48796	4013
924	48847	3960
925	48897	3907
926	48947	3854
927	48997	3801
928	49046	3748
929	49097	3695
930	49146	3642
931	49197	3589
932	49248	3536
933	49298	3483
934	49347	3430
935	49397	3377
936	49446	3324
937	49500	3271
938	49549	3218
939	49601	3166
940	49652	3113
941	49703	3060
942	49757	3007
943	49807	2954
944	49857	2901
945	49907	2848
946	49958	2796
947	50011	2743
948	50060	2690
949	50113	2637
950	50163	2584
951	50213	2531
952	50264	2478
953	50314	2426
954	50363	2373
955	50414	2320
956	50463	2267
957	50512	2214
958	50563	2161
959	50612	2108
960	50669	2056
961	50751	2004
962	50800	1951
963	50846	1898
964	50894	1845
965	50941	1792
966	50989	1740
967	51039	1687
968	51088	1634
969	51138	1581
970	51187	1528
971	51237	1475
972	51286	1423
973	51336	1370
974	51385	1317
975	51435	1264
976	51484	1212
977	51533	1159
978	51585	1106
979	51634	1053
980	51685	1001
981	51738	948
982	51789	895
983	51842	842
984	51895	790
985	51950	737
986	52006	684
987	52058	632
988	52109	579
989	52157	526
990	52210	474
991	52260	421
992	52315	368
993	52381	316
994	52437	263
995	52494	210
996	52551	158
997	52606	105
998	52662	52
999	52716	0
