iter	RMSE
392	80018.48645
393	79989.04192
394	79962.38622
395	79939.21415
396	79929.94603
397	79907.66187
398	79863.79884
399	79813.42762
400	79793.61742
401	79785.3392
402	79771.74184
403	79708.39716
404	79677.72846
405	79645.7098
406	79572.61271
407	79542.43062
408	79536.6683
409	79512.55705
410	79492.38157
411	79464.43748
412	79435.32877
413	79407.04965
414	79375.04923
415	79372.50869
416	79363.27432
417	79347.47833
418	79308.38874
419	79290.24024
420	79266.39931
421	79250.22605
422	79212.05637
423	79189.73773
424	79156.4227
425	79153.87868
426	79141.69033
427	79100.53188
428	79032.61938
429	78990.66997
430	78971.45337
431	78942.93502
432	78925.67254
433	78897.43997
434	78863.41171
435	78837.98233
436	78820.53863
437	78806.13304
438	78771.94699
439	78749.32553
440	78722.64741
441	78697.78246
442	78686.35588
443	78668.04735
444	78598.62483
445	78569.84012
446	78558.80125
447	78547.65336
448	78534.90303
449	78500.22309
450	78482.93998
451	78453.60424
452	78427.43153
453	78403.44106
454	78373.03503
455	78353.56747
456	78324.43072
457	78305.88812
458	78284.63963
459	78261.74667
460	78239.71059
461	78216.37155
462	78204.05347
463	78195.72993
464	78178.039
465	78163.48334
466	78146.45146
467	78125.60639
468	78110.42538
469	78092.55572
470	78057.7405
471	78045.23277
472	78024.11996
473	77995.58247
474	77967.53954
475	77953.8267
476	77943.95299
477	77928.47978
478	77921.84121
479	77873.36977
480	77858.79884
481	77845.27039
482	77797.0023
483	77762.97587
484	77758.90158
485	77734.38097
486	77669.30086
487	77637.24802
488	77629.18412
489	77575.16038
490	77553.92264
491	77538.23866
492	77500.42028
493	77488.71269
494	77470.42029
495	77458.92259
496	77395.30715
497	77372.66935
498	77369.2728
499	77360.39484
500	77337.26701
501	77300.69276
502	77297.89854
503	77275.90215
504	77261.85539
505	77235.56921
506	77218.46135
507	77211.45171
508	77185.92939
509	77160.10701
510	77153.05589
511	77135.70818
512	77084.23039
513	77079.50803
514	77075.59605
515	77052.10574
516	77022.34809
517	77016.24872
518	76994.27168
519	76985.08348
520	76982.19057
521	76968.74581
522	76953.4219
523	76948.05981
524	76923.01735
525	76909.60103
526	76884.24736
527	76880.01403
528	76842.39922
529	76826.0974
530	76816.49832
531	76808.44232
532	76790.10506
533	76757.65819
534	76740.38864
535	76718.28381
536	76703.23202
537	76683.51047
538	76677.81875
539	76659.93041
540	76640.46898
541	76606.67959
542	76596.97931
543	76593.55291
544	76589.00633
545	76573.45967
546	76554.30953
547	76529.8556
548	76511.88114
549	76499.68038
550	76479.89349
551	76463.86374
552	76451.28961
553	76438.7118
554	76429.91495
555	76399.65216
556	76386.1517
557	76343.14087
558	76294.84579
559	76283.02434
560	76278.78618
561	76256.0764
562	76244.55433
563	76227.93619
564	76203.95682
565	76184.30477
566	76179.09062
567	76168.9598
568	76150.38554
569	76140.34174
570	76123.30083
571	76115.32631
572	76092.17281
573	76071.25859
574	76051.45122
575	76034.50195
576	76017.55071
577	76007.01071
578	75999.67114
579	75981.43745
580	75953.81915
581	75921.44264
582	75902.78059
583	75887.93983
584	75869.96293
585	75826.58522
586	75812.61905
587	75808.11553
588	75805.10299
589	75782.19191
590	75761.80691
591	75751.53453
592	75747.99696
593	75738.33193
594	75692.09545
595	75673.70425
596	75648.95431
597	75634.23044
598	75616.6066
599	75589.85877
600	75573.20797
601	75535.08098
602	75507.25852
603	75469.33482
604	75440.28479
605	75429.37312
606	75412.29939
607	75393.74599
608	75380.56703
609	75377.84438
610	75364.31562
611	75338.19612
612	75309.65601
613	75303.52382
614	75296.95714
615	75284.54707
616	75261.25792
617	75244.23082
618	75227.36739
619	75221.18595
620	75196.74487
621	75167.02175
622	75154.72347
623	75128.8541
624	75115.42765
625	75113.11869
626	75104.669
627	75102.06563
628	75080.57912
629	75058.95185
630	75049.26922
631	75039.88965
632	75035.68449
633	75024.40532
634	75011.89359
635	74987.95467
636	74980.7942
637	74963.20544
638	74949.33418
639	74933.89265
640	74919.226
641	74906.40554
642	74898.64172
643	74853.31002
644	74850.18779
645	74830.18315
646	74811.12371
647	74801.53802
648	74782.5549
649	74762.95861
650	74756.60476
651	74734.76274
652	74722.42506
653	74709.5181
654	74688.57131
655	74670.22112
656	74663.07588
657	74653.3956
658	74629.55643
659	74587.04511
660	74574.50157
661	74565.71898
662	74552.38278
663	74524.08603
664	74509.75832
665	74498.27532
666	74455.25596
667	74432.32784
668	74401.14226
669	74386.34966
670	74372.61419
671	74353.56919
672	74320.87341
673	74315.12913
674	74285.01034
675	74276.03146
676	74251.95447
677	74233.8203
678	74210.5865
679	74172.43348
680	74155.24682
681	74141.04119
682	74133.39801
683	74121.85955
684	74110.93744
685	74083.83132
686	74069.61236
687	74062.70785
688	74036.11224
689	74030.19961
690	74005.02611
691	73994.95761
692	73993.77868
693	73981.46573
694	73963.12257
695	73959.02238
696	73920.11885
697	73905.85203
698	73894.05764
699	73890.9562
700	73869.65447
701	73866.36074
702	73817.08545
703	73807.95018
704	73800.71241
705	73786.59331
706	73769.91137
707	73763.46694
708	73751.88732
709	73732.63376
710	73680.86177
711	73669.08227
712	73655.43228
713	73627.18206
714	73612.25051
715	73606.61752
716	73590.709
717	73569.95638
718	73554.17031
719	73539.7772
720	73529.59251
721	73507.9686
722	73493.98908
723	73474.21862
724	73469.15384
725	73442.8845
726	73425.83227
727	73416.51142
728	73397.1022
729	73376.80102
730	73363.44706
731	73358.85576
732	73337.41322
733	73333.78354
734	73326.4809
735	73303.60944
736	73298.88011
737	73287.28713
738	73273.37238
739	73261.02023
740	73248.27832
741	73232.87432
742	73212.83129
743	73198.41627
744	73188.58039
745	73173.49671
746	73157.77327
747	73151.15238
748	73145.51044
749	73140.33519
750	73118.67084
751	73109.30487
752	73090.82984
753	73085.11974
754	73077.30758
755	73066.32842
756	73053.75642
757	73014.55474
758	72984.5809
759	72981.93374
760	72969.29931
761	72950.75246
762	72927.69353
763	72920.05924
764	72899.61789
765	72894.636
766	72884.53432
767	72867.63682
768	72857.73298
769	72851.06857
770	72824.35408
771	72813.27589
772	72797.07241
773	72788.07015
774	72786.41759
775	72774.22671
776	72769.78266
777	72764.31878
778	72737.1214
779	72726.39274
780	72716.05861
781	72702.84235
782	72700.53282
783	72691.87876
784	72666.78582
785	72658.25739
786	72634.72406
787	72605.6508
788	72599.74737
789	72583.85034
790	72570.18815
791	72553.77176
792	72526.68875
793	72521.70919
794	72501.9371
795	72480.7208
796	72476.24928
797	72457.806
798	72445.29065
799	72433.12207
800	72408.14279
801	72399.64575
802	72387.36299
803	72380.07445
804	72361.50361
805	72351.51043
806	72321.35602
807	72312.15214
808	72288.33137
809	72263.65492
810	72258.14506
811	72242.50138
812	72225.29895
813	72215.55415
814	72199.14339
815	72193.23891
816	72165.65626
817	72152.40774
818	72145.56745
819	72127.31585
820	72114.66087
821	72107.58539
822	72099.51458
823	72097.18207
824	72075.59239
825	72036.35523
826	72017.55873
827	72008.88351
828	71983.23955
829	71971.90899
830	71959.47924
831	71938.87678
832	71922.33822
833	71912.67605
834	71905.28564
835	71894.39565
836	71883.51798
837	71865.26793
838	71847.43941
839	71834.83969
840	71812.47135
841	71782.68821
842	71777.20811
843	71762.94402
844	71758.74528
845	71739.36147
846	71727.70811
847	71719.08832
848	71700.93291
849	71685.79168
850	71671.24724
851	71651.44444
852	71648.82456
853	71636.88531
854	71619.70651
855	71605.27839
856	71588.95517
857	71581.15946
858	71563.6003
859	71549.06958
860	71538.47419
861	71523.51568
862	71522.69255
863	71511.56601
864	71501.73779
865	71490.16633
866	71477.36213
867	71456.26481
868	71443.18138
869	71440.98549
870	71432.28563
871	71418.65911
872	71408.81446
873	71395.34132
874	71377.37729
875	71356.54249
876	71338.3888
877	71315.79791
878	71300.33322
879	71296.90181
880	71291.04046
881	71283.31343
882	71266.81999
883	71239.89561
884	71231.80214
885	71213.36143
886	71204.37019
887	71202.71882
888	71184.82544
889	71168.41701
890	71147.86979
891	71126.39176
892	71124.94758
893	71109.65397
894	71103.27625
895	71087.87108
896	71059.01106
897	71051.56539
898	71028.58763
899	71024.62337
900	71015.09929
901	71008.63076
902	70986.67915
903	70977.2339
904	70975.7899
905	70965.31754
906	70948.00292
907	70913.40697
908	70889.62112
909	70881.11363
910	70864.50819
911	70861.01188
912	70847.27011
913	70836.77234
914	70818.63144
915	70794.95988
916	70780.49526
917	70758.49781
918	70750.98345
919	70745.94612
920	70726.90295
921	70709.57931
922	70701.38255
923	70691.70131
924	70668.22589
925	70655.89511
926	70630.50342
927	70612.36522
928	70608.65826
929	70602.56608
930	70586.48929
931	70571.9924
932	70539.29078
933	70537.21046
934	70531.86829
935	70521.60904
936	70514.95969
937	70509.44578
938	70487.2609
939	70483.75384
940	70470.05627
941	70451.77318
942	70443.3723
943	70437.19471
944	70429.77695
945	70422.05315
946	70407.38914
947	70388.77284
948	70385.55962
949	70378.1418
950	70365.14946
951	70352.96128
952	70340.02461
953	70320.2466
954	70316.10998
955	70311.9198
956	70309.10136
957	70294.64914
958	70280.74586
959	70275.69928
960	70264.8957
961	70251.60654
962	70245.52389
963	70245.47235
964	70229.86441
965	70208.74889
966	70189.74749
967	70181.4569
968	70157.61843
969	70144.97683
970	70134.22542
971	70122.93133
972	70116.91411
973	70100.54847
974	70091.70019
975	70083.4935
976	70076.75782
977	70063.35811
978	70049.08424
979	70043.18209
980	70033.0753
981	70021.71181
982	70020.09616
983	69993.23419
984	69976.42558
985	69966.89655
986	69960.96487
987	69940.84222
988	69927.29667
989	69923.09487
990	69921.25434
991	69897.28225
992	69876.14137
993	69863.35538
994	69847.99936
995	69845.7705
996	69836.80333
997	69832.75412
998	69823.20993
999	69803.08373
